"@timestamp","host.name","process.name","process.parent.name","process.pid","process.command_line","user.name","user.id","user.domain"
"Jun 4, 2023 @ 14:13:40.335","DESKTOP-7UHDSLL","RuntimeBroker.exe","svchost.exe","25,384","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:13:40.281","DESKTOP-7UHDSLL","backgroundTaskHost.exe","svchost.exe","31,836","""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:13:09.160","DESKTOP-7UHDSLL","SearchFilterHost.exe","SearchIndexer.exe","17,492","""C:\WINDOWS\system32\SearchFilterHost.exe"" 0 820 824 832 8192 828 804 ","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:13:09.140","DESKTOP-7UHDSLL","SearchProtocolHost.exe","SearchIndexer.exe","29,148","""C:\WINDOWS\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe_S-1-5-21-3923507516-3049664583-770718868-1002300_ Global\UsGthrCtrlFltPipeMssGthrPipe_S-1-5-21-3923507516-3049664583-770718868-1002300 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon""  ""1""","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:12:36.718","DESKTOP-7UHDSLL","chrome.exe","chrome.exe","9,180","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-chrome-cart --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=129 --time-ticks-at-unix-epoch=-1684964791319443 --launch-time-ticks=937565396531 --mojo-platform-channel-handle=10804 --field-trial-handle=2012,i,3650752292115128342,17870880369132276219,262144 /prefetch:1",Harambe,"S-1-5-21-3923507516-3049664583-770718868-1002","DESKTOP-7UHDSLL"
"Jun 4, 2023 @ 14:11:56.244","DESKTOP-7UHDSLL","conhost.exe","schtasks.exe","6,644","\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:11:56.239","DESKTOP-7UHDSLL","schtasks.exe","officesvcmgr.exe","21,560","schtasks.exe /change /tn ""Microsoft\Office\Office Serviceability Manager"" /enable","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:11:55.989","DESKTOP-7UHDSLL","RuntimeBroker.exe","svchost.exe","31,340","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:11:55.974","DESKTOP-7UHDSLL","svchost.exe","services.exe","32,564","C:\WINDOWS\System32\svchost.exe -k wsappx -p -s ClipSVC","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:11:55.953","DESKTOP-7UHDSLL","backgroundTaskHost.exe","svchost.exe","10,580","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:11:55.915","DESKTOP-7UHDSLL","conhost.exe","officesvcmgr.exe","20,076","\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:11:55.910","DESKTOP-7UHDSLL","officesvcmgr.exe","svchost.exe","32,020","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\officesvcmgr.exe"" /checkin","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:11:03.581","DESKTOP-7UHDSLL","chrome.exe","chrome.exe","38,760","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-chrome-cart --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=128 --time-ticks-at-unix-epoch=-1684964791319443 --launch-time-ticks=937472260073 --mojo-platform-channel-handle=10252 --field-trial-handle=2012,i,3650752292115128342,17870880369132276219,262144 /prefetch:1",Harambe,"S-1-5-21-3923507516-3049664583-770718868-1002","DESKTOP-7UHDSLL"
"Jun 4, 2023 @ 14:09:43.208","DESKTOP-7UHDSLL","conhost.exe","schtasks.exe","21,156","\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:09:43.201","DESKTOP-7UHDSLL","schtasks.exe","officesvcmgr.exe","31,548","schtasks.exe /change /tn ""Microsoft\Office\Office Serviceability Manager"" /enable","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:09:42.980","DESKTOP-7UHDSLL","conhost.exe","officesvcmgr.exe","12,412","\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:09:42.947","DESKTOP-7UHDSLL","officesvcmgr.exe","svchost.exe","10,848","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\officesvcmgr.exe"" /checkin","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:08:12.554","DESKTOP-7UHDSLL","chrome.exe","chrome.exe","12,272","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-chrome-cart --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=127 --time-ticks-at-unix-epoch=-1684964791319443 --launch-time-ticks=937301232405 --mojo-platform-channel-handle=10120 --field-trial-handle=2012,i,3650752292115128342,17870880369132276219,262144 /prefetch:1",Harambe,"S-1-5-21-3923507516-3049664583-770718868-1002","DESKTOP-7UHDSLL"
"Jun 4, 2023 @ 14:08:10.524","DESKTOP-7UHDSLL","chrome.exe","chrome.exe","13,868","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-chrome-cart --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=126 --time-ticks-at-unix-epoch=-1684964791319443 --launch-time-ticks=937299202397 --mojo-platform-channel-handle=11524 --field-trial-handle=2012,i,3650752292115128342,17870880369132276219,262144 /prefetch:1",Harambe,"S-1-5-21-3923507516-3049664583-770718868-1002","DESKTOP-7UHDSLL"
"Jun 4, 2023 @ 14:08:03.246","DESKTOP-7UHDSLL","chrome.exe","chrome.exe","3,316","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --lang=en-US --service-sandbox-type=service --mojo-platform-channel-handle=12268 --field-trial-handle=2012,i,3650752292115128342,17870880369132276219,262144 /prefetch:8",Harambe,"S-1-5-21-3923507516-3049664583-770718868-1002","DESKTOP-7UHDSLL"
"Jun 4, 2023 @ 14:08:00.129","DESKTOP-7UHDSLL","svchost.exe","services.exe","11,388","C:\WINDOWS\system32\svchost.exe -k appmodel -p -s camsvc","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:08:00.011","DESKTOP-7UHDSLL","backgroundTaskHost.exe","svchost.exe","36,096","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:ShellFeedsUI.AppXnj65k2d1a1rnztt2t2nng5ctmk3e76pn.mca","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:07:27.380","DESKTOP-7UHDSLL","RuntimeBroker.exe","svchost.exe","39,056","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:07:27.315","DESKTOP-7UHDSLL","backgroundTaskHost.exe","svchost.exe","30,256","""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:07:11.536","DESKTOP-7UHDSLL","AsusUpdate.exe","services.exe","33,652","""C:\Program Files (x86)\ASUS\Update\AsusUpdate.exe"" /svc","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:07:11.318","DESKTOP-7UHDSLL","Get-AppxVersion.exe","Get-AppxVersion.exe","33,644","""C:\Program Files (x86)\ASUS\Update\1.3.107.93\Get-AppxVersion.exe"" ui","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:07:10.955","DESKTOP-7UHDSLL","Get-AppxVersion.exe","AsusUpdate.exe","23,928","""C:\Program Files (x86)\ASUS\Update\1.3.107.93\Get-AppxVersion.exe"" ALL","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:07:10.895","DESKTOP-7UHDSLL","AsusUpdate.exe","svchost.exe","14,176","""C:\Program Files (x86)\ASUS\Update\AsusUpdate.exe"" /ua /installsource scheduler","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:06:58.555","DESKTOP-7UHDSLL","FileCoAuth.exe","svchost.exe","38,864","""C:\Users\Harambe\AppData\Local\Microsoft\OneDrive\23.101.0514.0001\FileCoAuth.exe"" -Embedding","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:35.049","DESKTOP-7UHDSLL","MpSigStub.exe","AM_Delta_Patch_1.391.375.0.exe","18,808","C:\WINDOWS\system32\MpSigStub.exe /stub 1.1.18500.10 /payload 1.391.445.0 /MpWUStub /program C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.391.375.0.exe WD /q","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:35.007","DESKTOP-7UHDSLL","AM_Delta_Patch_1.391.375.0.exe","wuauclt.exe","1,036","""C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.391.375.0.exe"" WD /q","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:34.916","DESKTOP-7UHDSLL","wuauclt.exe","svchost.exe","23,808","""C:\WINDOWS\system32\wuauclt.exe"" /UpdateDeploymentProvider UpdateDeploymentProvider.dll /ClassId af3ef96a-ce56-449e-a8df-79288bbfa5bd /RunHandlerComServer","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:24.456","DESKTOP-7UHDSLL","smartscreen.exe","svchost.exe","35,032","C:\Windows\System32\smartscreen.exe -Embedding","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:24.413","DESKTOP-7UHDSLL","svchost.exe","services.exe","29,856","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s gpsvc","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:24.381","DESKTOP-7UHDSLL","svchost.exe","services.exe","6,076","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:24.258","DESKTOP-7UHDSLL","taskhostw.exe","svchost.exe","27,988","taskhostw.exe -RegisterDevice -ProtectionStateChanged -FreeNetworkOnly","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:18.990","DESKTOP-7UHDSLL","sppsvc.exe","services.exe","7,204","C:\WINDOWS\system32\sppsvc.exe","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:18.881","DESKTOP-7UHDSLL","MpCmdRun.exe","MsMpEng.exe","22,652","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.3-0\MpCmdRun.exe"" GetDeviceTicket -AccessKey C760CC13-083E-F763-6212-7D9FF6A4807E ","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
"Jun 4, 2023 @ 14:05:18.779","DESKTOP-7UHDSLL","conhost.exe","MpCmdRun.exe","10,580","\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1","DESKTOP-7UHDSLL$","S-1-5-18",WORKGROUP
